评论时间,评论者,弹幕内容
2022/4/2 20:41,bili_1644387358,回复@花生位花生酱:害
2022/4/2 12:01,mind_love-tamato,《关于老番茄对周六12点发视频的执念》[doge]
2022/4/2 14:41,垃圾桶恶狠狠,招聘老婆1，在家就可以做，工作简单，只要给我发消息就可以。2，工作条件简单，只要有一台手机或者电脑就可以做3，每天给我发一句老公，可获得返利老婆一句。反正闲着也是闲着，不如做我老婆。
2022/4/2 15:32,谁有修改器啊,但是我是男的啊[doge]
2022/4/2 19:12,服服服额呵呵,2000万粉丝的时候，是不是应该做出点什么呢？[滑稽][滑稽][滑稽][doge]
2022/4/2 19:13,潇洒且帅气68,卧槽我在看视频你是哪冒出来的[惊讶][惊讶]
2022/4/2 17:05,2022哇哦,看在茄哥的面上，这款游戏我们会提供除了下载以外的一切支持[呲牙]
2022/4/2 19:05,百花筒Official,告诉老板，小心那两个只穿着内裤上班的员工，他们两个是之前破产的老板[害羞]
2022/4/3 19:36,VIkeirr,玩了一下，这游戏给我一种越玩越味的感觉，我没收钱。
2022/4/3 20:39,重返帝国手游,[星星眼]谢谢好兄弟的支持
2022/4/2 12:01,IT老哥,因为你的骑兵有bug，让我帮你看看！结果，，，，骑兵瘸了[妙啊]
2022/4/4 0:58,天际省的抓根宝,番茄拿到了钱，我们收获了快乐，而且没有下载游戏，只有赞助商受伤的时间达成了
2022/4/2 13:04,あの--,快说，为什么更新这么勤！！！！！！！！！！！！快给我摸鱼！！！！！！！！！！
2022/4/2 12:17,杜衡鸽鸽,每次吃番茄视频都是在看饭的时候[脱单doge]
2022/4/2 12:04,JOJOand齐贝林,《番茄骑士和他的马》[doge]
2022/4/2 12:18,Thounatin,这游戏要是不能让马骑人我可不玩哈[傲娇]
2022/4/5 7:21,永远都选不来的名字,明明都刷过了，为什么还能刷到[疑惑]
2022/4/5 7:27,亦木yoh,我也是，不过开头股价暴跌那段貌似是改了，我记得刚发的时候是一段从正面看的股盘的视频，这里好像是改成侧面还加了个主持人[思考]
2022/4/5 9:21,JK家的蚊子,应该是因为视频内有广告所以做了推广吧
2022/4/2 12:38,_改昵称还要花6硬币,别的没记住就记住了4个字:重返帝国[doge]
2022/4/2 12:16,炀儿712,祝所有人大便通畅啊，大便通畅！[脱单doge]
2022/4/2 12:17,小happy的薄荷柠檬奶绿,是不是串台了[吃瓜]
2022/4/2 12:21,听说换名运气会变好86,此时的我正在蹲坑[doge]
2022/4/2 13:45,bili_82594188463,蹲坑看老番茄视频，谢谢你的祝福[脱单doge]
2022/4/3 21:27,熠言,点进来之前我以为这是茄马联动来着[妙啊]
2022/4/2 14:57,巴巴爸爸吧0,谁能拒绝在上课的时候看老番茄的新视频呢[doge][tv_色][tv_色][tv_色]
2022/4/2 13:33,猛攻城,重返荣耀居然拒绝我亲爱的托码头应聘，在此我郑重承诺，我不玩重返荣耀[doge]
2022/4/2 12:07,莫雨凌霄,老番茄的强迫症是治不好了hhhhh又是周六12点
2022/4/2 13:16,秦思玖,《论我上网课时看到托码头更新立刻切屏这件事》[热词系列_好耶]
2022/4/2 12:15,亚必的星空,发生什么事了📣发生什么事了📣发生什么事了📣
2022/4/2 13:03,鑫小亓儿,我眼中的标题：为什么我的骑兵长这样
2022/4/2 13:03,AliconOvO,兵长：？
2022/4/2 12:19,冬之风物诗诗诗,哎……我就是玩儿……我就是边上网课边看偷马头的视频[doge][doge][妙啊][妙啊]
2022/4/2 19:41,鸽子头子云槿,谢谢老番茄在我上课的时候更新视频（
2022/4/2 12:48,n只小抱枕菌,好家伙我刚从卖瓜那边的广告缓过来，你这里又开始恰了
2022/4/2 13:31,盛夏小衫,发生什么事了[原神_哇][原神_哇][原神_哇]
2022/4/2 13:31,Dr_sasterddd,我不到啊[原神_欸嘿]
2022/4/2 13:28,冫宫春日丶,开场Bgm是不是半泽直树里面的？？
2022/4/2 15:58,侵光系周粥,阿茄虽然这件事已经过去了，但是，你能不能cos一下飞羽真[热词系列_知识增加]
